,xUTM,yUTM,Prob
348,477000,859000,0.004908741202585607
349,477500,859000,0.005178764245720624
350,478000,859000,0.004580949608292656
351,478500,859000,0.00349807557871649
352,479000,859000,0.0030692609613788956
353,479500,859000,0.0040264503980815885
354,480000,859000,0.005354546766257129
355,480500,859000,0.005281313787642064
356,481000,859000,0.003636340059822386
357,481500,859000,0.0017604746835072425
358,482000,859000,0.0006039832568874509
359,482500,859000,0.0001453744717965225
360,483000,859000,2.3936766349233955e-05
361,483500,859000,2.61956011573623e-06
362,484000,859000,1.8599876228897678e-07
363,468000,859500,2.271100070637421e-07
364,468500,859500,3.3223151675949233e-06
365,469000,859500,3.0091985528735104e-05
366,469500,859500,0.00017001451724841819
367,470000,859500,0.0006091924402825518
368,470500,859500,0.0014373465911537405
369,471000,859500,0.0024121995826415677
370,471500,859500,0.0032430099507881013
371,472000,859500,0.0038746644486030587
372,472500,859500,0.0042499071744562114
373,473000,859500,0.00420105209695765
374,473500,859500,0.003565337852852703
375,474000,859500,0.0025354839313708882
376,474500,859500,0.001695517059907317
377,475000,859500,0.001382578835375364
378,475500,859500,0.0014680991996508827
379,476000,859500,0.0018239705544315572
380,476500,859500,0.0023962182161030425
381,477000,859500,0.0029154625358262616
382,477500,859500,0.003084177054659227
383,478000,859500,0.0027869115967601894
384,478500,859500,0.002218155445103748
385,479000,859500,0.002057494542063345
386,479500,859500,0.0029221955833617507
387,480000,859500,0.004267587798164757
388,480500,859500,0.004649887862194812
389,481000,859500,0.003571062268431248
390,481500,859500,0.0019493854297839147
391,482000,859500,0.0007561206134704286
392,482500,859500,0.00020361272962357232
393,483000,859500,3.679402506378693e-05
394,483500,859500,4.328835587967841e-06
395,484000,859500,3.2461639370480113e-07
396,468000,860000,4.303335114106861e-07
397,468500,860000,6.2835492615365275e-06
398,469000,860000,5.679534721218902e-05
399,469500,860000,0.0003195242564158366
400,470000,860000,0.0011315327399322216
401,470500,860000,0.00258591142752018
402,471000,860000,0.0040292090881741665
403,471500,860000,0.004747617584893865
404,472000,860000,0.004803473673681028
405,472500,860000,0.004451442601306952
406,473000,860000,0.003751981093700725
407,473500,860000,0.002856927429856778
408,474000,860000,0.002019784845214136
409,474500,860000,0.0013969922864495205
410,475000,860000,0.0009753852248777772
411,475500,860000,0.0007419754767890893
412,476000,860000,0.000742689120879374
413,476500,860000,0.0009462319123362378
414,477000,860000,0.0011902475984381686
415,477500,860000,0.0013094532705453603
416,478000,860000,0.001224182896764938
417,478500,860000,0.0010170288758307251
418,479000,860000,0.0010402983145494178
419,479500,860000,0.0016771489687734406
420,480000,860000,0.0026904569711946316
421,480500,860000,0.0031901977896528974
422,481000,860000,0.002689707148931946
423,481500,860000,0.0016255692351547554
424,482000,860000,0.000695336039599161
425,482500,860000,0.00020323738095987312
426,483000,860000,3.909310551572897e-05
427,483500,860000,4.813438958517531e-06
428,484000,860000,3.729706589458654e-07
429,468000,860500,5.446863778275009e-07
430,468500,860500,7.964286936384372e-06
431,469000,860500,7.218207498287556e-05
432,469500,860500,0.00040750823766945714
433,470000,860500,0.001446345382632994
434,470500,860500,0.0032900405687976727
435,471000,860500,0.005004691821973472
436,471500,860500,0.005542734390456934
437,472000,860500,0.0050257760070913276
438,472500,860500,0.003999026698230768
439,473000,860500,0.002811533464886854
440,473500,860500,0.0019188265684553433
